FID,lng,lat,Date
1157,-74.34723681,40.79010423,20218
1158,-74.34752938,40.78989061,20218
1159,-74.347801,40.78969906,20218
1160,-74.34807317,40.78950033,20218
1161,-74.34833289,40.78929709,20218
1162,-74.34850347,40.789153,20218
1163,-74.34866305,40.78899199,20218
1164,-74.34877421,40.78889743,20218
1166,-74.34903733,40.78863304,20218
1165,-74.34886352,40.78880973,20218
1167,-74.34928855,40.78837288,20218
1168,-74.34953073,40.78812142,20218
1169,-74.34976154,40.78787645,20218
1170,-74.34990939,40.78771811,20218
1171,-74.350055,40.78756429,20218
1173,-74.35027373,40.7873417,20218
1172,-74.35019909,40.78741478,20218
1174,-74.35043554,40.78720377,20218
1175,-74.35069822,40.78702076,20218
1177,-74.35126518,40.78670289,20218
1178,-74.35144023,40.78658059,20218
1176,-74.3510784,40.78681081,20218
1179,-74.35160034,40.78644717,20218
1180,-74.35180413,40.78622017,20218
1182,-74.35219084,40.78567049,20218
1181,-74.35197032,40.7859743,20218
1183,-74.35231488,40.78563216,20227
1184,-74.34149118,40.79543039,20218
1185,-74.34150854,40.79561906,20218
1186,-74.34136847,40.79564647,20218
1187,-74.34128872,40.79570977,20218
1188,-74.34112001,40.79580824,20188
1189,-74.3409616,40.7958773,20218
1190,-74.34086109,40.79592761,20218
1191,-74.34066705,40.79602837,20218
1193,-74.34054828,40.79611492,20218
1192,-74.34054828,40.79611492,20218
1194,-74.34049995,40.79619117,20218
1195,-74.34049475,40.79627174,20218
1197,-74.34058837,40.7964065,20218
1196,-74.34049475,40.79627174,20218
1198,-74.34058837,40.7964065,20218
1199,-74.34112001,40.79580824,20188
1200,-74.34102872,40.79577379,20218
1201,-74.3409147,40.79578377,202011
1202,-74.34071556,40.79569025,202011
1203,-74.34063098,40.79562483,202011
1204,-74.3405063,40.79552113,202011
1205,-74.34035558,40.79538304,202011
1206,-74.34035558,40.79538304,202011
1207,-74.34028192,40.79545329,20218
1208,-74.34149064,40.79579644,20218
1209,-74.34159938,40.79591973,20219
1210,-74.34136731,40.79660688,20218
1211,-74.34155624,40.79657652,20218
1212,-74.34136731,40.79660688,20218
1214,-74.34136068,40.79706271,20219
1213,-74.34137509,40.79687656,20219
1215,-74.34134386,40.79733682,20219
1216,-74.34133697,40.79747831,20219
1217,-74.34129472,40.79779814,20219
1220,-74.34127718,40.79859495,20219
1218,-74.34130385,40.79797119,20219
1219,-74.34129016,40.79832951,20219
1221,-74.34126841,40.79876536,20219
1222,-74.34124988,40.79915098,20219
1223,-74.34124424,40.7992529,20219
1224,-74.3412293,40.79959052,20219
1225,-74.34113953,40.79979147,202011
1226,-74.34121345,40.80001007,20219
1227,-74.34119913,40.80028398,20219
1228,-74.34118177,40.80056381,20219
1229,-74.34116763,40.80080428,20219
1230,-74.34115223,40.8011119,20219
1231,-74.34113433,40.8014209,20219
1232,-74.34111706,40.80173987,20219
1233,-74.34111053,40.80185011,20219
1234,-74.34108663,40.80219892,20219
1235,-74.34106631,40.80255517,20219
1236,-74.34104555,40.80277344,20219
1237,-74.3410229,40.8031326,20219
1238,-74.34100563,40.80338423,20219
1239,-74.34098478,40.80364343,20219
1240,-74.34094191,40.80389897,20219
1241,-74.34087711,40.80415041,20219
1242,-74.34076219,40.80452127,20219
1244,-74.34055705,40.80499219,20219
1243,-74.34071547,40.80464161,20219
1245,-74.34036686,40.80524456,20218
1246,-74.34016109,40.80558623,20218
1247,-74.33999936,40.80584639,20218
1249,-74.33974652,40.80626966,20218
1248,-74.33989429,40.80601579,20218
1251,-74.33947524,40.80672098,20218
1250,-74.33958353,40.80653485,20218
1252,-74.33929489,40.80698067,20218
1253,-74.33914255,40.80726112,20218
1254,-74.33897116,40.80754617,20218
1255,-74.33886474,40.80763907,20218
1256,-74.33868743,40.80801377,20218
1257,-74.33857117,40.80820075,20218
1259,-74.33828342,40.80868347,20227
1260,-74.33805429,40.80903114,20227
1258,-74.33849402,40.80844134,20227
1261,-74.33794411,40.80920494,20227
1263,-74.33758941,40.80977577,20227
1262,-74.33777379,40.80947987,20227
1264,-74.33742741,40.81012693,20219
1265,-74.33720499,40.81040534,20218
1266,-74.3370941,40.81058491,20227
1267,-74.33692574,40.81086991,20227
1268,-74.33671335,40.81123473,20227
1269,-74.33655815,40.81147865,20227
1270,-74.33636142,40.8117882,20227
1271,-74.33616165,40.81210033,20227
1272,-74.33600215,40.81236212,20227
1273,-74.335815,40.81267804,20227
1274,-74.33562856,40.81297498,20227
1275,-74.33552518,40.81315273,20227
1276,-74.33529713,40.8135079,20227
1277,-74.3351899,40.8136842,20227
1278,-74.33504723,40.81391853,20227
1279,-74.33490268,40.81415373,20227
1280,-74.33475679,40.8143904,20227
1281,-74.33460346,40.81463305,20227
1282,-74.33443126,40.81492517,20227
1284,-74.33416883,40.81532742,20227
1285,-74.33410609,40.8154051,20227
1287,-74.33369517,40.81578162,20218
1283,-74.3342961,40.81514101,20227
1286,-74.33393289,40.81555853,20227
1288,-74.33355393,40.81588279,20218
1289,-74.33315169,40.81612429,20218
1290,-74.33293679,40.81622888,20218
1291,-74.33259505,40.81637316,20218
1293,-74.33201058,40.81661432,20218
1292,-74.33224312,40.81651874,20218
1294,-74.33177733,40.81671101,20218
1295,-74.3315464,40.81680508,20218
1296,-74.33131225,40.81689847,20218
1297,-74.33096479,40.81703863,20218
1299,-74.3303574,40.81736524,20218
1298,-74.33054303,40.8172502,20218
1300,-74.33018778,40.81748387,20218
1302,-74.32971742,40.81789665,20218
